# C++ name	package	module	Luce name	file:line	kind
Gfx::Color::Color	luce-browser-render	gfx	color_construct_color_named_color	Libraries/LibGfx/Color.h:480	construct
Gfx::Color::Color	luce-browser-render	gfx	color_construct_u32	Libraries/LibGfx/Color.h:472	construct
Gfx::Color::Color	luce-browser-render	gfx	color_construct_u8_u8_u8	Libraries/LibGfx/Color.h:133	construct
Gfx::Color::Color	luce-browser-render	gfx	color_construct_u8_u8_u8_u8	Libraries/LibGfx/Color.h:138	construct
Gfx::Color::HTMLCompatibleSerialization	luce-browser-render	gfx	ColorHtmlCompatibleSerialization	Libraries/LibGfx/Color.h:419	enum
Gfx::Color::NamedColor	luce-browser-render	gfx	ColorNamedColor	Libraries/LibGfx/Color.h:60	enum
Gfx::Color::alpha	luce-browser-render	gfx	color_alpha	Libraries/LibGfx/Color.h:220	stub
Gfx::Color::blend	luce-browser-render	gfx	color_blend	Libraries/LibGfx/Color.h:264	stub
Gfx::Color::blue	luce-browser-render	gfx	color_blue	Libraries/LibGfx/Color.h:219	stub
Gfx::Color::branded_color	luce-browser-render	gfx	color_branded_color	Libraries/LibGfx/Color.h:568	stub
Gfx::Color::contrast_ratio	luce-browser-render	gfx	color_contrast_ratio	Libraries/LibGfx/Color.h:332	stub
Gfx::Color::darkened	luce-browser-render	gfx	color_darkened	Libraries/LibGfx/Color.h:380	stub
Gfx::Color::distance_squared_to	luce-browser-render	gfx	color_distance_squared_to	Libraries/LibGfx/Color.h:317	stub
Gfx::Color::from_a98rgb	luce-browser-render	gfx	color_from_a98rgb	Libraries/LibGfx/Color.cpp:479	stub
Gfx::Color::from_bgra	luce-browser-render	gfx	color_from_bgra	Libraries/LibGfx/Color.h:146	stub
Gfx::Color::from_bgrx	luce-browser-render	gfx	color_from_bgrx	Libraries/LibGfx/Color.h:145	stub
Gfx::Color::from_display_p3	luce-browser-render	gfx	color_from_display_p3	Libraries/LibGfx/Color.cpp:486	stub
Gfx::Color::from_hsl	luce-browser-render	gfx	color_from_hsl	Libraries/LibGfx/Color.h:171	stub
Gfx::Color::from_hsla	luce-browser-render	gfx	color_from_hsla	Libraries/LibGfx/Color.h:172	stub
Gfx::Color::from_hsv	luce-browser-render	gfx	color_from_hsv_f64	Libraries/LibGfx/Color.h:448	stub
Gfx::Color::from_hsv	luce-browser-render	gfx	color_from_hsv_hsv	Libraries/LibGfx/Color.h:453	stub
Gfx::Color::from_lab	luce-browser-render	gfx	color_from_lab	Libraries/LibGfx/Color.cpp:518	stub
Gfx::Color::from_linear_display_p3	luce-browser-render	gfx	color_from_linear_display_p3	Libraries/LibGfx/Color.cpp:472	stub
Gfx::Color::from_linear_srgb	luce-browser-render	gfx	color_from_linear_srgb_2	Libraries/LibGfx/Color.cpp:467	stub
Gfx::Color::from_named_css_color_string	luce-browser-render	gfx	color_from_named_css_color_string	Libraries/LibGfx/Color.cpp:181	stub
Gfx::Color::from_oklab	luce-browser-render	gfx	color_from_oklab	Libraries/LibGfx/Color.h:193	stub
Gfx::Color::from_pro_photo_rgb	luce-browser-render	gfx	color_from_pro_photo_rgb	Libraries/LibGfx/Color.cpp:493	stub
Gfx::Color::from_rec2020	luce-browser-render	gfx	color_from_rec2020	Libraries/LibGfx/Color.cpp:500	stub
Gfx::Color::from_rgba	luce-browser-render	gfx	color_from_rgba	Libraries/LibGfx/Color.h:147	stub
Gfx::Color::from_rgbx	luce-browser-render	gfx	color_from_rgbx	Libraries/LibGfx/Color.h:152	stub
Gfx::Color::from_string	luce-browser-render	gfx	color_from_string	Libraries/LibGfx/Color.cpp:405	stub
Gfx::Color::from_utf16_string	luce-browser-render	gfx	color_from_utf16_string	Libraries/LibGfx/Color.cpp:428	stub
Gfx::Color::from_xyz50	luce-browser-render	gfx	color_from_xyz50	Libraries/LibGfx/Color.cpp:506	stub
Gfx::Color::from_xyz65	luce-browser-render	gfx	color_from_xyz65	Libraries/LibGfx/Color.cpp:512	stub
Gfx::Color::from_yuv	luce-browser-render	gfx	color_from_yuv_f32	Libraries/LibGfx/Color.h:155	stub
Gfx::Color::from_yuv	luce-browser-render	gfx	color_from_yuv_yuv	Libraries/LibGfx/Color.h:154	stub
Gfx::Color::green	luce-browser-render	gfx	color_green	Libraries/LibGfx/Color.h:218	stub
Gfx::Color::interpolate	luce-browser-render	gfx	color_interpolate	Libraries/LibGfx/Color.h:298	stub
Gfx::Color::inverted	luce-browser-render	gfx	color_inverted	Libraries/LibGfx/Color.h:402	stub
Gfx::Color::lightened	luce-browser-render	gfx	color_lightened	Libraries/LibGfx/Color.h:385	stub
Gfx::Color::luminosity	luce-browser-render	gfx	color_luminosity	Libraries/LibGfx/Color.h:327	stub
Gfx::Color::mixed_with	luce-browser-render	gfx	color_mixed_with	Libraries/LibGfx/Color.h:280	stub
Gfx::Color::multiply	luce-browser-render	gfx	color_multiply	Libraries/LibGfx/Color.h:308	stub
Gfx::Color::operator==	luce-browser-render	gfx	color_eq	Libraries/LibGfx/Color.h:414	stub
Gfx::Color::red	luce-browser-render	gfx	color_red	Libraries/LibGfx/Color.h:217	stub
Gfx::Color::saturated_to	luce-browser-render	gfx	color_saturated_to	Libraries/LibGfx/Color.h:393	stub
Gfx::Color::sepia	luce-browser-render	gfx	color_sepia	Libraries/LibGfx/Color.h:347	stub
Gfx::Color::serialize_a_srgb_value	luce-browser-render	gfx	color_serialize_a_srgb_value	Libraries/LibGfx/Color.cpp:84	stub
Gfx::Color::serialize_a_srgb_value	luce-browser-render	gfx	color_serialize_a_srgb_value_string_builder	Libraries/LibGfx/Color.cpp:71	stub
Gfx::Color::set_alpha	luce-browser-render	gfx	color_set_alpha	Libraries/LibGfx/Color.h:222	stub
Gfx::Color::set_blue	luce-browser-render	gfx	color_set_blue	Libraries/LibGfx/Color.h:251	stub
Gfx::Color::set_green	luce-browser-render	gfx	color_set_green	Libraries/LibGfx/Color.h:245	stub
Gfx::Color::set_red	luce-browser-render	gfx	color_set_red	Libraries/LibGfx/Color.h:239	stub
Gfx::Color::shades	luce-browser-render	gfx	color_shades	Libraries/LibGfx/Color.cpp:433	stub
Gfx::Color::suggested_foreground_color	luce-browser-render	gfx	color_suggested_foreground_color	Libraries/LibGfx/Color.h:466	stub
Gfx::Color::tints	luce-browser-render	gfx	color_tints	Libraries/LibGfx/Color.cpp:445	stub
Gfx::Color::to_byte_string	luce-browser-render	gfx	color_to_byte_string	Libraries/LibGfx/Color.cpp:124	stub
Gfx::Color::to_byte_string_without_alpha	luce-browser-render	gfx	color_to_byte_string_without_alpha	Libraries/LibGfx/Color.cpp:129	stub
Gfx::Color::to_grayscale	luce-browser-render	gfx	color_to_grayscale	Libraries/LibGfx/Color.h:341	stub
Gfx::Color::to_hsv	luce-browser-render	gfx	color_to_hsv	Libraries/LibGfx/Color.h:437	stub
Gfx::Color::to_oklab	luce-browser-render	gfx	color_to_oklab	Libraries/LibGfx/Color.h:210	stub
Gfx::Color::to_premultiplied_oklab	luce-browser-render	gfx	color_to_premultiplied_oklab	Libraries/LibGfx/Color.h:199	stub
Gfx::Color::to_string	luce-browser-render	gfx	color_to_string	Libraries/LibGfx/Color.cpp:91	stub
Gfx::Color::to_string_without_alpha	luce-browser-render	gfx	color_to_string_without_alpha	Libraries/LibGfx/Color.cpp:114	stub
Gfx::Color::to_utf16_string_without_alpha	luce-browser-render	gfx	color_to_utf16_string_without_alpha	Libraries/LibGfx/Color.cpp:119	stub
Gfx::Color::to_yuv	luce-browser-render	gfx	color_to_yuv	Libraries/LibGfx/Color.h:165	stub
Gfx::Color::value	luce-browser-render	gfx	color_value	Libraries/LibGfx/Color.h:412	stub
Gfx::Color::with_alpha	luce-browser-render	gfx	color_with_alpha	Libraries/LibGfx/Color.h:257	stub
Gfx::Color::with_opacity	luce-browser-render	gfx	color_with_opacity	Libraries/LibGfx/Color.h:374	stub
Gfx::Color::xored	luce-browser-render	gfx	color_xored	Libraries/LibGfx/Color.h:407	stub
Gfx::ColorComponents	luce-browser-render	gfx	ColorComponents	Libraries/LibGfx/ColorConversion.h:17	struct
Gfx::ColorComponents [default member initializers]	luce-browser-render	gfx	color_components_init_fields	Libraries/LibGfx/ColorConversion.h:17	init fields
Gfx::ColorComponents::ColorComponents	luce-browser-render	gfx	color_components_construct	Libraries/LibGfx/ColorConversion.h:20	construct
Gfx::ColorComponents::alpha	luce-browser-render	gfx	color_components_alpha	Libraries/LibGfx/ColorConversion.h:29	stub
Gfx::ColorComponents::operator[]	luce-browser-render	gfx	color_components_at	Libraries/LibGfx/ColorConversion.h:26	stub
Gfx::ColorComponents::operator[]	luce-browser-render	gfx	color_components_at_const	Libraries/LibGfx/ColorConversion.h:27	stub
Gfx::ColorComponents::set_alpha	luce-browser-render	gfx	color_components_set_alpha	Libraries/LibGfx/ColorConversion.h:30	stub
Gfx::ColorFilterType	luce-browser-render	gfx	ColorFilterType	Libraries/LibGfx/Filter.h:25	enum
Gfx::ColorRole	luce-browser-render	gfx	ColorRole	Libraries/LibGfx/SystemTheme.h:145	enum
Gfx::ColorSpace	luce-browser-render	gfx	ColorSpace	Libraries/LibGfx/ColorSpace.h:23	struct
Gfx::ColorSpace::ColorSpace	luce-browser-render	gfx	color_space_construct	Libraries/LibGfx/ColorSpace.cpp:26	construct
Gfx::ColorSpace::ColorSpace	luce-browser-render	gfx	color_space_construct_color_space_impl	Libraries/LibGfx/ColorSpace.cpp:47	construct
Gfx::ColorSpace::color_space	luce-browser-render	gfx	color_space_color_space_sk_sp	Libraries/LibGfx/ColorSpace.cpp:160	stub
Gfx::ColorSpace::from_cicp	luce-browser-render	gfx	color_space_from_cicp	Libraries/LibGfx/ColorSpace.cpp:52	stub
Gfx::ColorSpace::load_from_icc_bytes	luce-browser-render	gfx	color_space_load_from_icc_bytes	Libraries/LibGfx/ColorSpace.cpp:134	stub
Gfx::ColorStop	luce-browser-render	gfx	ColorStop	Libraries/LibGfx/Gradients.h:15	struct
